Location,Premium,Brand_Model,Bluk_Price_DP,Year,Bluk_2,Url
"location_on
Cairo
, New Cairo & 5th Settlement",Premium,كيا جراند سيراتو ex cam 2023 وكيل زيرو,"كيا جراند سيراتو ex cam 2023 وكيل زيرو

1.6 A/T EX CAM

1,450,000EGP
Min. DP:290,000EGP",2023,"Kia
Grand Cerato
2023
New
Automatic
In Warranty
Fabrika In&Out",https://www.contactcars.com/en/new-cars/kia-grand_cerato/for-sale/41f376d3db004f13af3d61fafd4c3c99?status=New
"location_on
Suez
, Suez",Premium,Kia Cerato 2023,"Kia Cerato 2023

1.6 A/T H/L

Down Payment375,000EGP",2023,"Kia
Grand Cerato
2023
New
Automatic
Fabrika In&Out",https://www.contactcars.com/en/new-cars/kia-grand_cerato/for-sale/dec31628a37f45e3aa7c26e7ae35e81a?status=New?dealer=1519319
"location_on
Cairo
, New Cairo & 5th Settlement",Premium,كيا سيراتو توب لاين 2017 بصمة,"كيا سيراتو توب لاين 2017 بصمة
860,000EGP",2017,"Kia
Cerato
2017
Used
157,000
km
Automatic
for Exchange
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-cerato/e680660b407645e0b723eab1aac2978c?status=Used
"location_on
Cairo
, Nasr City",Premium,سيارة كيا سيراتو KIA CERATO,"سيارة كيا سيراتو KIA CERATO
Down Payment200,000EGP",2015,"Kia
Cerato
2015
Used
160,000
km
Automatic
for Exchange
In Warranty
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-cerato/e853b84cd1564931862848d6e929804b?status=Used?dealer=1519331
"location_on
Suez
, Port Tawfiq",Premium,كيا بيكانتو .. فابريكة,"كيا بيكانتو .. فابريكة
550,000EGP",2015,"Kia
Picanto
2015
Used
128,000
km
Automatic
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-picanto/21539cc581734c4fb223b412ca10ad31?status=Used
"location_on
Giza
, Sheikh Zayed",Premium,كيا سيلتوس 2023 - Kia Seltos خليجية-استيراد ( حر - جواب ),"كيا سيلتوس 2023 - Kia Seltos خليجية-استيراد ( حر - جواب )
1,035,000EGP",2023,"Kia
seltos
2023
New
Automatic
Imported Specs
For Disabled
Fabrika In&Out",https://www.contactcars.com/en/new-cars/kia-seltos/for-sale/6d644f06b418491eb2bb6f54b7acf8ed?status=New?dealer=1519530
"location_on
Cairo
, New Cairo & 5th Settlement",Premium,التجمع الاول,"التجمع الاول

1.6 A/T TL Plus Black Edition

1,860,000EGP
Min. DP:372,000EGP",2022,"Kia
Sportage
2022
Used
25,000
km
Automatic
almost new
In Warranty
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-sportage/a4a13ce7430644eca7110eeabd00cc1d?status=Used
"location_on
Cairo
, Nasr City",Premium,كيا ريو فابريكا بالكامل عداد و سعر لقطه,"كيا ريو فابريكا بالكامل عداد و سعر لقطه
500,000EGP",2013,"Kia
Rio
2013
Used
130,000
km
Automatic
for Exchange
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-rio/ca143223984a46f5962dd497f8cb3347?status=Used?dealer=1519525
"location_on
Cairo
, Nasr City",Premium,كيا سيراتو Fully loadded,"كيا سيراتو Fully loadded
750,000EGP",2015,"Kia
Cerato
2015
Used
180,000
km
Automatic
for Exchange",https://www.contactcars.com/en/used-cars/kia-cerato/df3d1f429e454776908820f48f9e6b9f?status=Used?dealer=1519525
"location_on
Cairo
, Nasr City",Premium,Kia sportage GT 2023,"Kia sportage GT 2023
Down Payment462,500EGP",2023,"Kia
Sportage
2023
New
Automatic",https://www.contactcars.com/en/new-cars/kia-sportage/for-sale/7fb24e0d652648a08760997ae959046e?status=New?dealer=1519511
"location_on
Cairo
, New Cairo & 5th Settlement",Premium,كيا سبورتاج ٢٠١٤ للبيع,"كيا سبورتاج ٢٠١٤ للبيع
945,000EGP",2014,"Kia
Sportage
2014
Used
98,000
km
Automatic
almost new
In Warranty
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-sportage/9aa766070e33471cbf5f3c83443e5504?status=Used
"location_on
Cairo
, Nasr City",Premium,كارينز ٢٠١٣,"كارينز ٢٠١٣
700,000EGP",2013,"Kia
Carens
2013
Used
86,000
km
Automatic
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-carens/b7f7e318217842b5adb81f7509464c4e?status=Used
"location_on
Giza
, El Haram",Premium,كيا سبورتاج اعلي فئه بصمة,"كيا سبورتاج اعلي فئه بصمة

1.6 A/T S/R

950,000EGP",2015,"Kia
Sportage
2015
Used
170,000
km
Automatic",https://www.contactcars.com/en/used-cars/kia-sportage/98d34f78c7214e96967c3009a7262998?status=Used
"location_on
Cairo
, Mokattam",Premium,كيا سيراتو/Kia Cerato، حالة ممتازة,"كيا سيراتو/Kia Cerato، حالة ممتازة
680,000EGP",2016,"Kia
Cerato
2016
Used
172,000
km
Automatic
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-cerato/f9b2adf69ee7473abf94274b7d17b861?status=Used
"location_on
Cairo
, Nasr City",Premium,kia Sportage 2021.,"kia Sportage 2021.

1.6 A/T LX Cam

1,450,000EGP
Min. DP:290,000EGP",2021,"Kia
Sportage
2021
Used
55,000
km
Automatic
almost new
In Warranty
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-sportage/b2b2e22221434bdd88b4ee6585cafa11?status=Used
"location_on
Cairo
, New Cairo & 5th Settlement",Premium,سبورتاج 2014 فابريكا بالكامل,"سبورتاج 2014 فابريكا بالكامل
935,000EGP",2014,"Kia
Sportage
2014
Used
95,000
km
Automatic
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-sportage/4256df6c1ff34ee9b6dc1644cf1ebb0d?status=Used
"location_on
Giza
, 6th of October",Premium,KIA Sporatge,"KIA Sporatge

1.6 A/T GT 4WD

1,300,000EGP",2017,"Kia
Sportage
2017
Used
94,000
km
Automatic
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-sportage/43d35317fa084b93b45dbd4d2bfeedfc?status=Used?dealer=1519495
"location_on
Cairo
, Nasr City",Premium,كيا جراند سيراتو 2022,"كيا جراند سيراتو 2022

1.6 A/T LX

Down Payment336,000EGP",2022,"Kia
Grand Cerato
2022
Used
25,000
km
Automatic",https://www.contactcars.com/en/used-cars/kia-grand_cerato/d760ef10ba1d470eb36fa38e5cf06225?status=Used?dealer=1519293
"location_on
Giza
, Giza",Premium,اسبورتاج خليجي اعلى فئه مواصفات البلاك اديشن وارد الخارج,"اسبورتاج خليجي اعلى فئه مواصفات البلاك اديشن وارد الخارج
1,400,000EGP",2017,"Kia
Sportage
2017
Used
8,000
km
Automatic
Imported Specs
almost new
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-sportage/9c10ba1de1a44551bbed64bb842918ed?status=Used
"location_on
Giza
, 6th of October",Premium,كيا سبورتاج,"كيا سبورتاج
2,150,000EGP
Min. DP:430,000EGP",2023,"Kia
Sportage
2023
Used
14,000
km
Automatic
almost new
In Warranty
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-sportage/57f13c38f9f34e9a928554e825b59ab8?status=Used
"location_on
Giza
, Sheikh Zayed",Premium,كيا كارينز 2023 - KIA CARENS خليجية-استيراد ( حر - جواب ),"كيا كارينز 2023 - KIA CARENS خليجية-استيراد ( حر - جواب )
1,090,000EGP",2023,"Kia
Carens
2023
New
Automatic
Imported Specs
For Disabled
Fabrika In&Out",https://www.contactcars.com/en/new-cars/kia-carens/for-sale/a9d6a73bfee2481cae38e67997c68b24?status=New?dealer=1519530
"location_on
Cairo
, Zahraa Maadi",Premium,جراند سيراتو خليجي,"جراند سيراتو خليجي

1.6 A/T H/L

1,270,000EGP
Min. DP:254,000EGP",2023,"Kia
Grand Cerato
2023
New
Automatic
Fabrika In&Out",https://www.contactcars.com/en/new-cars/kia-grand_cerato/for-sale/df4d5d577c5c4000959ffcd2a4a28e32?status=New
"location_on
Cairo
, New Cairo & 5th Settlement",Premium,كيا سبورتاج هاي لاين وكيل للبيع,"كيا سبورتاج هاي لاين وكيل للبيع

1.6 A/T HL

2,050,000EGP
Min. DP:410,000EGP",2023,"Kia
Sportage NQ5
2023
Used
10,000
km
Automatic
almost new
In Warranty
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-sportage_nq5/4a6876761b9b4565b9b2e4bc5dc146d6?status=Used
"location_on
Giza
, El Haram",Premium,كيا اكسيد توب لاين,"كيا اكسيد توب لاين

1.5 A/T T/L

1,350,000EGP
Min. DP:270,000EGP",2022,"Kia
Xceed
2022
Used
25,000
km
Automatic
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-xceed/ab4d643bf7da4ac087d8e250dce35183?status=Used?dealer=1519502
"location_on
Cairo
, Nasr City",Premium,KIA SPORTAGE GTLINE 2023,"KIA SPORTAGE GTLINE 2023
Down Payment1,100,000EGP",2023,"Kia
Sportage
2023
Used
11,000
km
Automatic
almost new
In Warranty
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-sportage/d10db06af8144027a951171d072d1102?status=Used?dealer=1519536
"location_on
Qalyubia
, Shubra Al Khaimah",Premium,ش الشعراوي القديم بهتيم,"ش الشعراوي القديم بهتيم

1.6 A/T GT 4WD

1,000,000EGP",2017,"Kia
Sportage
2017
Used
105,000
km
Automatic
for Exchange",https://www.contactcars.com/en/used-cars/kia-sportage/63a4d892fee5439481ddb7af18dc86b5?status=Used
"location_on
Cairo
, Road El Farag",Premium,كيا جراند سيراتو فابريكا بالكامل ثانى فئه فابريكه ,"كيا جراند سيراتو فابريكا بالكامل ثانى فئه فابريكه 
915,000EGP",2019,"Kia
Cerato
2019
Used
91,000
km
Automatic
almost new
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-cerato/bf97d52c9f20414ca4a04d2bcaa9f9f5?status=Used
"location_on
Cairo
, Heliopolis",Premium,مصر الجديدة,"مصر الجديدة
1,550,000EGP",2022,"Kia
Sportage
2022
Used
35,202
km
Automatic
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-sportage/dacd849cebbf484a99ef7da1c22c9626?status=Used
"location_on
Cairo
, New Cairo & 5th Settlement",,سيراتو خليجي كالجديدة,"سيراتو خليجي كالجديدة
1,030,000EGP",2017,"Kia
Cerato
2017
Used
23,500
km
Automatic
Imported Specs
almost new
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-cerato/8483bf054df6448a9b82889aa5db45ab?status=Used
"location_on
Giza
, Sheikh Zayed",,سبورتاج 2016 فابريكا للبيع بحالة ممتازة صيانه توكيل ممنوع وسطاء,"سبورتاج 2016 فابريكا للبيع بحالة ممتازة صيانه توكيل ممنوع وسطاء

1.6 A/T EX SRF

10,050,000EGP",2016,"Kia
Sportage
2016
Used
158,000
km
Automatic
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-sportage/f2a358e2b59e4812b79f90b79e41023c?status=Used
"location_on
Cairo
, El Sherouk City",,زيرو مافيهاش خربوش,"زيرو مافيهاش خربوش

1.6 A/T TL Plus Black Edition

1,900,000EGP
Min. DP:380,000EGP",2022,"Kia
Sportage
2022
Used
58,000
km
Automatic
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-sportage/7c76d76397744c4b8bb78f49bf302730?status=Used
"location_on
Cairo
, Maadi",,زهراء المعادي,"زهراء المعادي

1.4 A/T EX FL

660,000EGP",2017,"Kia
Rio
2017
Used
131,000
km
Automatic",https://www.contactcars.com/en/used-cars/kia-rio/decd22de09744028976c072b1441b532?status=Used
"location_on
Giza
, Sheikh Zayed",,كيا سيلتوس 2023 - KIA SELTOS خليجية-استيراد ( حر - جواب ),"كيا سيلتوس 2023 - KIA SELTOS خليجية-استيراد ( حر - جواب )
1,035,000EGP",2023,"Kia
seltos
2023
New
Automatic
Imported Specs
For Disabled
Fabrika In&Out",https://www.contactcars.com/en/new-cars/kia-seltos/for-sale/3b1dab4cfbde4347b6b0e3939686044f?status=New?dealer=1519530
"location_on
Giza
, Doki",,سبورتاج 2023,"سبورتاج 2023
2,100,000EGP
Min. DP:420,000EGP",2023,"Kia
Sportage
2023
New
Automatic
In Warranty
Fabrika In&Out",https://www.contactcars.com/en/new-cars/kia-sportage/for-sale/8baf739ed16e447bbf5d05abf077c536?status=New
"location_on
Giza
, Faisal",,كيا سبورتاج بحالة ممتازة,"كيا سبورتاج بحالة ممتازة
1,000,000EGP",2015,"Kia
Sportage
2015
Used
150,000
km
Automatic
Fabrika In&Out",https://www.contactcars.com/en/used-cars/kia-sportage/c0da00f027f9496a8f72b6684c21e318?status=Used
"location_on
Giza
, Agouza",,كيا سيراتو 2016 الفئه الثانيه,"كيا سيراتو 2016 الفئه الثانيه
635,000EGP",2016,"Kia
Cerato
2016
Used
168,000
km
Automatic",https://www.contactcars.com/en/used-cars/kia-cerato/a4bdb0dc9d754cb1940b7d1aab4e0bc1?status=Used
