URL,Status,Brand Name,Model,Governorate,City,Price,Body Type,Fuel Type,Transmission,Production Year,Down Payment,Engine Capacity,Kilometers,Color,Additional Properties,More Details
https://www.contactcars.com/en/new-cars/skoda-kodiaq/for-sale/35f9fcb2f3f448c5a7f079a5a7293304?status=New?dealer=1519420,New,Skoda,KODIAQ,Cairo," Heliopolis","770,000",SUV,Gas,Automatic,2024,"154,000",1400,,Dark Grey,,"Skoda kodiaq 2024 الان من شرقاوي اوتو  "
https://www.contactcars.com/en/new-cars/jaguar-f_pace/for-sale/300d7184d1bc4402970e34acbb6cf49f?status=New?dealer=1519480,New,Jaguar,F-PACE,Cairo," New Cairo & 5th Settlement",,SUV,Gas,Automatic,2022,"400,000",2000,,White,,"Brand New Jaguar F-Pace 2022  2.0 A/T P250 R Dynamic SE  "
https://www.contactcars.com/en/used-cars/hyundai-accent_rb/7d9eb511d95f4073a64c47c2404a5a18?status=Used,Used,Hyundai,Accent RB,Cairo," Heliopolis","850,000",Sedan,Gas,Automatic,2024,"170,000",1600,42,Silver,"In Warranty , Fabrika In&Out","اكسنت RB بحالة الزيرو  1.6 A/T GL DAB ABS Tinted glass   "
https://www.contactcars.com/en/used-cars/bmw-x5/fe67a6d390e149db8b63c9af95639320?status=Used,Used,BMW,X5,Eastern," 10th of Ramadan","3,100,000",SUV,Gas,Automatic,2017,,4400,"160,000",Blue,"almost new , for Exchange , Fabrika In&Out","MBW X5 M50  4.4 A/T Pure Experience  "
https://www.contactcars.com/en/new-cars/mitsubishi-xpander/for-sale/ff8b6faf5dbd427d97f1fab16a0e30c5?status=New?dealer=1519530,New,Mitsubishi,Xpander,Giza," Sheikh Zayed","930,000",SUV,Gas,Automatic,2024,,1500,,Black,"Imported , For Disabled , Fabrika In&Out","متسوبيشي اكسباندر2024 - MITSUBISHI XPANDER خليجي أستيراد "
https://www.contactcars.com/en/used-cars/toyota-corolla/943945e3d19f4b54b5899c30439d9bb9?status=Used,Used,Toyota,Corolla,Eastern," 10th of Ramadan","900,000",Sedan,Gas,Automatic,2020,,1600,"88,000",White,Fabrika In&Out,"Corolla 2020 fo sale  1.6L Active  "
https://www.contactcars.com/en/new-cars/mercedes-glc_200/for-sale/00da128df5d84997bdd33ff6fb868d07?status=New?dealer=1519501,New,Mercedes,GLC 200,Cairo," Heliopolis",,SUV,Gas,Automatic,2024,"1,500,000",2000,,Red,,"GLC 200 Coupe 2024 "
https://www.contactcars.com/en/new-cars/mercedes-glc_300/for-sale/05bca4a640714424b453ec6c988f8c24?status=New,New,Mercedes,GLC 300,Giza," El Mohndseen","5,700,000",SUV,Gas,Automatic,2024,"1,140,000",2000,,Gray,"Imported , In Warranty","Mercedes GLC300 2024  "
https://www.contactcars.com/en/new-cars/mercedes-c200/for-sale/7a87844fcb1d420093bff09e3f67faed?status=New?dealer=1519511,New,Mercedes,C200,Cairo," Nasr City","1,000,000",Sedan,Gas,Automatic,2023,,1500,,,"Imported , In Warranty , Fabrika In&Out","Mercedes C200 2023 "
https://www.contactcars.com/en/new-cars/opel-grand_land/for-sale/85e8863ea10644caabf286a63b6e4c3c?status=New?dealer=1519511,New,OPEL,Grand Land,Cairo," Nasr City",,SUV,Gas,Automatic,2023,"425,000",1600,,Red,,"Opel grandland 2023  1.6 A/T Turbo H/L  "
https://www.contactcars.com/en/used-cars/audi-q3/0727ba09ab744acbaec844e66b36709a?status=Used,Used,Audi,Q3,Cairo," Nasr City","2,650,000",SUV,Gas,Automatic,2024,"530,000",1400,10,Navy Blue,,"Audi Q3 Sline 2024  "
https://www.contactcars.com/en/used-cars/bmw-x6/df3f5b3ba3eb4b5a9e6c349938e864c0?status=Used,Used,BMW,X6,Giza," Sheikh Zayed","3,500,000",SUV,Gas,Automatic,2017,,4400,"78,000",Gray,Fabrika In&Out,"بي ام دبليو اكس ٦ بحالة ممتازة "
https://www.contactcars.com/en/used-cars/mercedes-e200/fa79df60407b4df1a3facdff904a6e3c?status=Used?dealer=1519523,Used,Mercedes,E200,Cairo," Nasr City","4,500,000",Sedan,Gas,Automatic,2021,"900,000",2000,"50,000",Black,"almost new , Fabrika In&Out","Mercedes-Benz E200 2021  2.0 A/T AMG Coupe Designo MAGNO   "
https://www.contactcars.com/en/new-cars/kia-sportage_nq5/for-sale/7c85bc43c93d4a6fa464ee70421f1dde?status=New?dealer=1519455,New,Kia,Sportage NQ5,Cairo," Nasr City",,SUV,Gas,Automatic,2024,"630,000",1600,,Gray,,"KIA SPORTAGE 2024  1.6 A/T GT  "
https://www.contactcars.com/en/used-cars/audi-a5/55e7ac5008b2425f8ec04cc7f680ee4a?status=Used,Used,Audi,A5,Cairo," Rehab City","2,300,000",Sedan,Gas,Automatic,2019,"460,000",2000,"45,000",White,"almost new , In Warranty , Fabrika In&Out","أودي A5 Slin 2019 فابريكة  1.4 A/T Sport Line   "
https://www.contactcars.com/en/used-cars/opel-astra/f4d25bdc0871427f9ef7f9abce3fb743?status=Used,Used,OPEL,Astra,Giza," 6th of October","800,000",Sedan,Gas,Automatic,2019,,1400,"44,500",Green,,"6 october  1.4 A/T H/L Turbo  "
https://www.contactcars.com/en/new-cars/mercedes-e200/for-sale/c9ab1118dd394ece9232bec702fcc1f5?status=New?dealer=1519521,New,Mercedes,E200,Giza," Sheikh Zayed","4,750,000",Sedan,Gas,Automatic,2024,"950,000",2000,,Silver,Imported,"Mercedes E200 2024  "
https://www.contactcars.com/en/new-cars/mercedes-glc_200/for-sale/3b6c934a397d43fbbf93ed2dcf17ce4f?status=New?dealer=1519521,New,Mercedes,GLC 200,Giza," Sheikh Zayed","4,500,000",SUV,Gas,Automatic,2024,"900,000",2000,,White,,"GLC 200 Coupe AMG  "
https://www.contactcars.com/en/used-cars/jeep-grand_cherokee/a1b3c6cc71764c668a7cd0a771e6c7e1?status=Used,Used,Jeep,Grand Cherokee,Giza," Sheikh Zayed","600,000",SUV,Gas,Automatic,2018,"120,000",5700,"35,000",White,"almost new , Fabrika In&Out","Jeep  5.7 A/T Limited   "
https://www.contactcars.com/en/new-cars/volkswagen-golf/for-sale/5805d99615fa40b69730417d2301b27c?status=New,New,Volkswagen,Golf,Alexandria," Smouha","2,250,000",Hatchback,Gas,Automatic,2024,"450,000",1500,,White,"Imported , for Exchange , Fabrika In&Out","Golf 8 R line Black edition  "
https://www.contactcars.com/en/new-cars/citroen-c5_aircross/for-sale/fe7c1382fe834bbe9ed08eec9b2b9e20?status=New?dealer=1519293,New,Citroen,C5 Aircross,Cairo," Nasr City",,SUV,Gas,Automatic,2024,"445,000",1600,,Silver,,"سيتروين C5 اير كروس 2024  1.6 A/T live  "
https://www.contactcars.com/en/used-cars/chevrolet-lanos/e8a96147f499448593b6b83c70c0cbad?status=Used?dealer=1519451,Used,Chevrolet,Lanos,Cairo," Waili","355,000",Sedan,Natural Gas,Manual,2019,,1500,"152,542",Gray,almost new,"لانوس فيراني 2019  1.5 M/T F/O  "
https://www.contactcars.com/en/used-cars/chevrolet-optra/f294e92b64c3476881c3fb1f191bf2fc?status=Used?dealer=1519451,Used,Chevrolet,Optra,Cairo," Waili","575,000",Sedan,Gas,Automatic,2021,,1500,"87,539",Dark Grey,almost new,"اوبترا فيراني ميتالك 2021  1.5 A/T  "
https://www.contactcars.com/en/used-cars/renault-sandero_stepway/43e4affc406c40018978179d6b127daf?status=Used,Used,Renault,Sandero Stepway,Cairo," New Cairo & 5th Settlement","485,000",SUV,Gas,Automatic,2016,,1600,"200,000",Red,"almost new , Fabrika In&Out","Renault Stepway in a perfect condition  Top  "
https://www.contactcars.com/en/used-cars/jeep-cherokee/6065ff1815f24fcea25063b1b37db929?status=Used,Used,Jeep,Cherokee,Cairo," Rehab City","840,000",SUV,Gas,Automatic,2010,,3800,"128,000",Black,almost new,"Ibrahim "
https://www.contactcars.com/en/new-cars/jac-js2/for-sale/4a75f42ef9db4a44bf96187e08a60515?status=New?dealer=1519410,New,JAC,JS2,Cairo," Nasr City",,SUV,Diesel,Automatic,2024,"210,000",1500,,Black,,"جاك js2  1.5 A/T Smart  "
https://www.contactcars.com/en/used-cars/bmw-740i/803a637dbf604530be88f3dcb0ccd78d?status=Used,Used,BMW,740i,Cairo," Heliopolis","4,550,000",Sedan,Gas,Automatic,2020,,3000,"100,000",Gray,,"بي ام دبليو 740 موديل 2020 كاش او تقسيط "
https://www.contactcars.com/en/new-cars/kia-grand_cerato/for-sale/df4d5d577c5c4000959ffcd2a4a28e32?status=New,New,Kia,Grand Cerato,Cairo," Zahraa Maadi","1,270,000",Sedan,Gas,Automatic,2023,"254,000",1600,,Black,Fabrika In&Out,"جراند سيراتو خليجي  1.6 A/T H/L   "
https://www.contactcars.com/en/used-cars/nissan-sunny/75de7c9ed67a470d91a6606d633a2bc2?status=Used,Used,Nissan,Sunny,Eastern," Kafr Saqr","490,000",Sedan,Gas,Automatic,2015,,1600,"107,000",Dark Grey,Fabrika In&Out,"نيسان صني ٢٠١٥ "
https://www.contactcars.com/en/used-cars/bmw-318i/a8f31f130b0f4a2bb3bc06046c034e54?status=Used,Used,BMW,318i,Cairo," New Cairo & 5th Settlement","1,500,000",Sedan,Gas,Automatic,2017,,1500,"91,000",Black,Fabrika In&Out,"أول يد من الزيرو صيانة التوكيل حتى 90000 كم  1.5 A/T Luxury  "
https://www.contactcars.com/en/used-cars/renault-megane/e701c2d5dfb441af877393511c8b9525?status=Used,Used,Renault,Megane,Cairo," Madinaty","1,175,000",Sedan,Gas,Automatic,2020,"235,000",1200,"42,000",Silver,"almost new , In Warranty , Fabrika In&Out","فباريكه بالكامل  1.2 A/T H/L Turbo Sedan   "
https://www.contactcars.com/en/used-cars/toyota-corolla/9f04cc5b7f9a4f0cbb1d4af483c29ae6?status=Used,Used,Toyota,Corolla,Cairo," New Cairo & 5th Settlement","850,000",Sedan,Gas,Automatic,2018,,1600,"146,000",Brown,,"Toyota Corolla 2018 in excellent condition  1.6 A/T  "
https://www.contactcars.com/en/new-cars/mercedes-cla_200/for-sale/b096d3c33119457a9b0ac92629bf98f9?status=New?dealer=1519501,New,Mercedes,CLA 200,Cairo," Heliopolis",,Sedan,Gas,Automatic,2024,"1,750,000",1300,,White,,"Mercedes CLA 200 /2024 "
https://www.contactcars.com/en/new-cars/kia-sportage_nq5/for-sale/a78cc3ce1f744068a42c70fb1a024411?status=New?dealer=1519520,New,Kia,Sportage NQ5,"
Egypt",,"1,950,000",SUV,Gas,Automatic,2024,"390,000",1600,,Gray,In Warranty,"KIA sportage 2024 WAKEL Zero الفئه 2  1.6 A/T EX   "
https://www.contactcars.com/en/used-cars/mercedes-c200/4be79390132c4d13b68e31d65d7e1cb7?status=Used?dealer=1519487,Used,Mercedes,C200,Cairo," Nasr City","2,000,000",Sedan,Gas,Automatic,2023,"400,000",1500,"5,000",Gray,"In Warranty , Fabrika In&Out","C200  "
https://www.contactcars.com/en/new-cars/bmw-x5/for-sale/ba3ca2ec9f584b54a6e31e344d7403a2?status=New,New,BMW,X5,Cairo," Nasr City",,SUV,Gas,Automatic,2024,"3,950,000",4400,,Gray,In Warranty,"BMW X5 M60i 2024  4.4 A/T M60i  "
https://www.contactcars.com/en/new-cars/bmw-320i/for-sale/71fb089c3b18449eb8de27b88c262fbd?status=New?dealer=1519483,New,BMW,320i,Cairo," Nasr City",,Sedan,Gas,Automatic,2024,"1,500,000",1600,,Blue,"In Warranty , Fabrika In&Out","320I M sport 2024  1.6 A/T LCI M Sport  "
https://www.contactcars.com/en/new-cars/range_rover-velar/for-sale/4ad8de0c2aa94dbaba5b54b19d352714?status=New,New,Range Rover,Velar,Cairo," Nasr City","6,100,000",SUV,Diesel,Automatic,2024,"1,220,000",2000,,Black,,"Range Rover Velar  "
https://www.contactcars.com/en/new-cars/opel-mokka/for-sale/745a9b77d05b428e8901a956560b2e62?status=New?dealer=1519410,New,OPEL,Mokka,Cairo," Nasr City",,SUV,Gas,Automatic,2024,"355,000",1200,,Red,,"اوبل موكا 2024  1.2 A/T Turbo GS Line  "
https://www.contactcars.com/en/new-cars/geely-gx3_pro/for-sale/167601f9248e4829b5424a40e59ba8c2?status=New?dealer=1519277,New,Geely,GX3 PRO,Cairo," Heliopolis",,SUV,Gas,Automatic,2024,"220,000",1500,,Red,,"GX3 PRO 2024 هي دي فرصتك "
https://www.contactcars.com/en/new-cars/hyundai-elantra_hd/for-sale/c38538f8720540d2a215d39de9d2d890?status=New?dealer=1519449,New,Hyundai,Elantra HD,Cairo," Nasr City",,Sedan,Gas,Automatic,2024,"190,000",1600,,White,"for Exchange , In Warranty , Fabrika In&Out","hyundai elantra HD  1.6 A/T GL DAB ABS HD  "
https://www.contactcars.com/en/used-cars/renault-fluence/996acab162c34b688c2aca33049d99b3?status=Used,Used,Renault,Fluence,Qalyubia," El Oobor","485,000",Sedan,Gas,Automatic,2011,,1600,"199,999",Black,"In Warranty , Fabrika In&Out","رينو فلوانس خليجي بحالة الزيرو مالك اول "
https://www.contactcars.com/en/new-cars/volkswagen-tiguan/for-sale/45518d214f4c45cfb7d4ab8376c6f170?status=New?dealer=1519511,New,Volkswagen,Tiguan,Cairo," Nasr City",,SUV,Gas,Automatic,2023,"720,000",1400,,White,,"Tiguan 2023  1.4 A/T R-Line  "
