Location,Premium,Brand_Model,Bluk_Price_DP,Year,Bluk_2,Url
"location_on
Cairo
, Heliopolis",Premium,Skoda kodiaq 2024 الان من شرقاوي اوتو,"Skoda kodiaq 2024 الان من شرقاوي اوتو
770,000EGP
Min. DP:154,000EGP",2024,"Skoda
KODIAQ
2024
New
Automatic",https://www.contactcars.com/en/new-cars/skoda-kodiaq/for-sale/35f9fcb2f3f448c5a7f079a5a7293304?status=New?dealer=1519420
"location_on
Cairo
, New Cairo & 5th Settlement",Premium,Brand New Jaguar F-Pace 2022,"Brand New Jaguar F-Pace 2022

2.0 A/T P250 R Dynamic SE

Down Payment400,000EGP",2022,"Jaguar
F-PACE
2022
New
Automatic",https://www.contactcars.com/en/new-cars/jaguar-f_pace/for-sale/300d7184d1bc4402970e34acbb6cf49f?status=New?dealer=1519480
"location_on
Cairo
, Heliopolis",Premium,اكسنت RB بحالة الزيرو,"اكسنت RB بحالة الزيرو

1.6 A/T GL DAB ABS Tinted glass

850,000EGP
Min. DP:170,000EGP",2024,"Hyundai
Accent RB
2024
Used
42
km
Automatic
In Warranty
Fabrika In&Out",https://www.contactcars.com/en/used-cars/hyundai-accent_rb/7d9eb511d95f4073a64c47c2404a5a18?status=Used
"location_on
Eastern
, 10th of Ramadan",Premium,MBW X5 M50,"MBW X5 M50

4.4 A/T Pure Experience

3,100,000EGP",2017,"BMW
X5
2017
Used
160,000
km
Automatic
almost new
for Exchange
Fabrika In&Out",https://www.contactcars.com/en/used-cars/bmw-x5/fe67a6d390e149db8b63c9af95639320?status=Used
"location_on
Giza
, Sheikh Zayed",Premium,متسوبيشي اكسباندر2024 - MITSUBISHI XPANDER خليجي أستيراد,"متسوبيشي اكسباندر2024 - MITSUBISHI XPANDER خليجي أستيراد
930,000EGP",2024,"Mitsubishi
Xpander
2024
New
Automatic
Imported Specs
For Disabled
Fabrika In&Out",https://www.contactcars.com/en/new-cars/mitsubishi-xpander/for-sale/ff8b6faf5dbd427d97f1fab16a0e30c5?status=New?dealer=1519530
"location_on
Eastern
, 10th of Ramadan",Premium,Corolla 2020 fo sale,"Corolla 2020 fo sale

1.6L Active

900,000EGP",2020,"Toyota
Corolla
2020
Used
88,000
km
Automatic
Fabrika In&Out",https://www.contactcars.com/en/used-cars/toyota-corolla/943945e3d19f4b54b5899c30439d9bb9?status=Used
"location_on
Cairo
, Heliopolis",Premium,GLC 200 Coupe 2024,"GLC 200 Coupe 2024
Down Payment1,500,000EGP",2024,"Mercedes
GLC 200
2024
New
Automatic",https://www.contactcars.com/en/new-cars/mercedes-glc_200/for-sale/00da128df5d84997bdd33ff6fb868d07?status=New?dealer=1519501
"location_on
Giza
, El Mohndseen",Premium,Mercedes GLC300 2024,"Mercedes GLC300 2024
5,700,000EGP
Min. DP:1,140,000EGP",2024,"Mercedes
GLC 300
2024
New
Automatic
Imported Specs
In Warranty",https://www.contactcars.com/en/new-cars/mercedes-glc_300/for-sale/05bca4a640714424b453ec6c988f8c24?status=New
"location_on
Cairo
, Nasr City",Premium,Mercedes C200 2023,"Mercedes C200 2023
1,000,000EGP",2023,"Mercedes
C200
2023
New
Automatic
Imported Specs
In Warranty
Fabrika In&Out",https://www.contactcars.com/en/new-cars/mercedes-c200/for-sale/7a87844fcb1d420093bff09e3f67faed?status=New?dealer=1519511
"location_on
Cairo
, Nasr City",Premium,Opel grandland 2023,"Opel grandland 2023

1.6 A/T Turbo H/L

Down Payment425,000EGP",2023,"OPEL
Grand Land
2023
New
Automatic",https://www.contactcars.com/en/new-cars/opel-grand_land/for-sale/85e8863ea10644caabf286a63b6e4c3c?status=New?dealer=1519511
